Naziv isplatitelja;Datum;Primatelj;Iznos na poziciji;Programska klasifikacija;Ekonomska klasifikacija;Opis
GRAD OTOČAC;26.8.2025 2:00;Croatia osiguranje d.d.;862,5;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;312190 Ostali nenavedeni rashodi za zaposlene;DZO 15.08.-15.09.2025. 25/0001060
GRAD OTOČAC;26.8.2025 2:00;Croatia osiguranje d.d.;862,5;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;312190 Ostali nenavedeni rashodi za zaposlene;DZO 15.07-15.08. 25/0000985
GRAD OTOČAC;22.9.2025 2:00;Croatia osiguranje d.d.;862,5;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;312190 Ostali nenavedeni rashodi za zaposlene;DZO 15.09.-15.10.25. 25/0001258
GRAD OTOČAC;23.2.2021 1:00;Croatia osiguranje d.d.;148,64;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329230 Premije osiguranja zaposlenih;osiguranje , polica br.217180003331
GRAD OTOČAC;9.3.2021 1:00;Croatia osiguranje d.d.;267,97;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO Peugeot, GS-278-BH 21/0000083
GRAD OTOČAC;9.3.2021 1:00;Croatia osiguranje d.d.;327,77;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AK GS-278-BH, PEUGEOT 21/0000065
GRAD OTOČAC;15.4.2021 2:00;Croatia osiguranje d.d.;269,48;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja mazda GS 920 CM 21/0000398
GRAD OTOČAC;15.4.2021 2:00;Croatia osiguranje d.d.;933,89;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja kasko  mazda GS 920 CM 21/0000399
GRAD OTOČAC;17.6.2021 2:00;Croatia osiguranje d.d.;1051,23;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AK GS265DH, MAZDA 21/0000722
GRAD OTOČAC;17.6.2021 2:00;Croatia osiguranje d.d.;251,38;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;ao mazda gs265dh 21/0000737
GRAD OTOČAC;4.11.2021 1:00;Croatia osiguranje d.d.;1157,3;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar 21/0001370
GRAD OTOČAC;4.11.2021 1:00;Croatia osiguranje d.d.;110,81;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO - traktor 21/0001314
GRAD OTOČAC;4.11.2021 1:00;Croatia osiguranje d.d.;437,73;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329230 Premije osiguranja zaposlenih;premija osiguranja- nezgoda 21/0001369
GRAD OTOČAC;4.11.2021 1:00;Croatia osiguranje d.d.;313,13;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar 21/0001371
GRAD OTOČAC;4.11.2021 1:00;Croatia osiguranje d.d.;542,13;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko- traktor 21/0001315
GRAD OTOČAC;10.11.2021 1:00;Croatia osiguranje d.d.;360,72;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;potres- polica osiguranja 21/0001407
GRAD OTOČAC;10.12.2021 1:00;Croatia osiguranje d.d.;363,88;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje- citroen berlingo 21/0001598
GRAD OTOČAC;10.12.2021 1:00;Croatia osiguranje d.d.;380,45;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje škoda fabia 21/0001600
GRAD OTOČAC;10.12.2021 1:00;Croatia osiguranje d.d.;242,28;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;autoosiguranje KIA 21/0001601
GRAD OTOČAC;10.12.2021 1:00;Croatia osiguranje d.d.;321;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja- Škoda 21/0001613
GRAD OTOČAC;10.12.2021 1:00;Croatia osiguranje d.d.;267,97;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO -GS 962 GZ 21/0001562
GRAD OTOČAC;10.12.2021 1:00;Croatia osiguranje d.d.;565,21;A01 1001A100007 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje - KIA 21/0001614
GRAD OTOČAC;29.12.2021 1:00;Croatia osiguranje d.d.;159,27;A01 1001T100001 Organizacija dočeka Nove Godine i Adventa;323990 Ostale nespomenute usluge;odgovornost, polica br. 078180023775
GRAD OTOČAC;15.2.2022 1:00;Croatia osiguranje d.d.;360,21;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;polica osiguranja- potres 22/0000101
GRAD OTOČAC;8.3.2022 1:00;Croatia osiguranje d.d.;267,97;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;AO GS 278 BH 22/0000194
GRAD OTOČAC;27.4.2022 2:00;Croatia osiguranje d.d.;360,21;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;polica osiguranja 22/0000517
GRAD OTOČAC;15.6.2022 2:00;Croatia osiguranje d.d.;246,82;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;automob. odgovornost mazda 22/0000847
GRAD OTOČAC;15.6.2022 2:00;Croatia osiguranje d.d.;1120,9;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje- mazda 22/0000849
GRAD OTOČAC;14.7.2022 2:00;Croatia osiguranje d.d.;360,21;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;polica - potres 22/0001005
GRAD OTOČAC;24.10.2022 2:00;Croatia osiguranje d.d.;313,13;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;polica za osiguranje u sl. požara za mrtvačnice 22/0002029
GRAD OTOČAC;24.10.2022 2:00;Croatia osiguranje d.d.;360,72;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;polica osiguranja u sl. potresa 22/0002030
GRAD OTOČAC;24.10.2022 2:00;Croatia osiguranje d.d.;1157,3;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329220 Premije osiguranja ostale imovine;polica za osiguranje imovine u sl. požara 22/0002028
GRAD OTOČAC;24.10.2022 2:00;Croatia osiguranje d.d.;129,93;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO za traktor GS 799 DL 22/0002036
GRAD OTOČAC;27.10.2022 2:00;Croatia osiguranje d.d.;437,73;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329230 Premije osiguranja zaposlenih;polica osiguranja od nesretnog slučaja 22/0002056
GRAD OTOČAC;9.11.2022 1:00;Croatia osiguranje d.d.;496,12;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje- traktor  GS 799 DL 22/0002064
GRAD OTOČAC;28.11.2022 1:00;Croatia osiguranje d.d.;290,64;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja AO GS 962 GZ 22/0002211
GRAD OTOČAC;9.12.2022 1:00;Croatia osiguranje d.d.;362,83;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja GS 962 GZ 22/0002262
GRAD OTOČAC;9.12.2022 1:00;Croatia osiguranje d.d.;353,73;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja GS 813-BR 22/0002240
GRAD OTOČAC;15.12.2022 1:00;Croatia osiguranje d.d.;270,03;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja GS 177 HB 22/0002350
GRAD OTOČAC;15.12.2022 1:00;Croatia osiguranje d.d.;592,3;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje GS177 HB 22/0002351
GRAD OTOČAC;15.12.2022 1:00;Croatia osiguranje d.d.;363,14;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica kasko osiguranja GS 813-BR 22/0002352
GRAD OTOČAC;25.1.2023 1:00;Croatia osiguranje d.d.;360,21;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;potres 2.obrok
GRAD OTOČAC;7.2.2023 1:00;Croatia osiguranje d.d.;163,46;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329230 Premije osiguranja zaposlenih;osiguranje nezgoda
GRAD OTOČAC;24.2.2023 1:00;Croatia osiguranje d.d.;436,59;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar 23/0000093
GRAD OTOČAC;24.2.2023 1:00;Croatia osiguranje d.d.;670,68;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja-potres 23/0000094
GRAD OTOČAC;26.4.2023 2:00;Croatia osiguranje d.d.;360,21;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja u slučaju  potresa 23/0000445
GRAD OTOČAC;13.6.2023 2:00;Croatia osiguranje d.d.;1195,08;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;KASKO MAZDA 6, GS265DH 23/0000786
GRAD OTOČAC;13.6.2023 2:00;Croatia osiguranje d.d.;298,57;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO MAZDA 6, GS265DH 23/0000787
GRAD OTOČAC;14.7.2023 2:00;Croatia osiguranje d.d.;360,21;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica za potres 23/0000970
GRAD OTOČAC;27.10.2023 2:00;Croatia osiguranje d.d.;437,84;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329230 Premije osiguranja zaposlenih;polica osiguranja- nezgoda 23/0002071
GRAD OTOČAC;27.10.2023 2:00;Croatia osiguranje d.d.;1830,75;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar 23/0002081
GRAD OTOČAC;10.11.2023 1:00;Croatia osiguranje d.d.;132,81;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja- AO 23/0002092
GRAD OTOČAC;16.11.2023 1:00;Croatia osiguranje d.d.;570,34;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja _GS799 DL 23/0002150
GRAD OTOČAC;30.11.2023 1:00;Croatia osiguranje d.d.;344;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO GS 962 GZ 23/0002217
GRAD OTOČAC;30.11.2023 1:00;Croatia osiguranje d.d.;434,56;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja AK GS962 GZ 23/0002274
GRAD OTOČAC;12.12.2023 1:00;Croatia osiguranje d.d.;643,47;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;ao kia i škoda 23/0002316
GRAD OTOČAC;24.1.2024 1:00;Croatia osiguranje d.d.;360,34;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;potres 2.obrok, osiguranje
GRAD OTOČAC;1.2.2024 1:00;Croatia osiguranje d.d.;163,46;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329230 Premije osiguranja zaposlenih;polica br.217290015249
GRAD OTOČAC;7.2.2024 1:00;Croatia osiguranje d.d.;1078,78;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;ak kia i škoda
GRAD OTOČAC;6.3.2024 1:00;Croatia osiguranje d.d.;519,75;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;požar polica osiguranja 24/0000205
GRAD OTOČAC;16.4.2024 2:00;Croatia osiguranje d.d.;360,34;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;3.obrok potres 24/0000453
GRAD OTOČAC;4.7.2024 2:00;Croatia osiguranje d.d.;1230,33;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;kasko osiguranje mazda 24/0000865
GRAD OTOČAC;4.7.2024 2:00;Croatia osiguranje d.d.;302,95;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja 24/0000864
GRAD OTOČAC;24.7.2024 2:00;Croatia osiguranje d.d.;360,34;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;osiguranje 4.obrok potres 24/0000949
GRAD OTOČAC;25.10.2024 2:00;Croatia osiguranje d.d.;1157,3;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar 24/0001462
GRAD OTOČAC;25.10.2024 2:00;Croatia osiguranje d.d.;313,13;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar 24/0001463
GRAD OTOČAC;30.10.2024 1:00;Croatia osiguranje d.d.;360,32;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;potres -polica osiguranja 24/0001504
GRAD OTOČAC;12.11.2024 1:00;Croatia osiguranje d.d.;437,84;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329230 Premije osiguranja zaposlenih;polica osiguranja- nezgoda 24/0001585
GRAD OTOČAC;26.11.2024 1:00;Croatia osiguranje d.d.;359,32;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja GS 962 GZ 24/0001612
GRAD OTOČAC;11.12.2024 1:00;Croatia osiguranje d.d.;357,41;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO- GS813 BR 24/0001722
GRAD OTOČAC;11.12.2024 1:00;Croatia osiguranje d.d.;335,49;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO GS 177 HB 24/0001723
GRAD OTOČAC;11.12.2024 1:00;Croatia osiguranje d.d.;430,52;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AK- GS813 BR 24/0001725
GRAD OTOČAC;11.12.2024 1:00;Croatia osiguranje d.d.;425,02;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AK- GS962 GZ 24/0001727
GRAD OTOČAC;11.12.2024 1:00;Croatia osiguranje d.d.;716,21;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja GS 177 HB 24/0001759
GRAD OTOČAC;18.2.2025 1:00;Croatia osiguranje d.d.;519,75;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- požar
GRAD OTOČAC;18.2.2025 1:00;Croatia osiguranje d.d.;360,34;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica osiguranja- potres
GRAD OTOČAC;6.5.2025 2:00;Croatia osiguranje d.d.;360,34;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;polica za potres 25/0000485
GRAD OTOČAC;5.6.2025 2:00;Croatia osiguranje d.d.;1266,62;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;polica osiguranja za auto 25/0000706
GRAD OTOČAC;5.6.2025 2:00;Croatia osiguranje d.d.;351,88;A01 1002A100205 Održavanje službenih automobila;329210 Premije osiguranja prijevoznih sredstava;AO 25/0000703
GRAD OTOČAC;26.8.2025 2:00;Croatia osiguranje d.d.;360,34;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;329220 Premije osiguranja ostale imovine;4. obrok police - POTRES 17.10.2024. - 17.10.2025. 25/0001088
GRAD OTOČAC;27.5.2022 2:00;Croatia zdravstveno osiguranje d.d.;133,76;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;329230 Premije osiguranja zaposlenih;polica osiguranja- nesretni slučaj 22/0000719
GRAD OTOČAC;16.11.2023 1:00;Croatia zdravstveno osiguranje d.d.;709,13;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;312190 Ostali nenavedeni rashodi za zaposlene;DZO 15.11.-15.12.2023. 23/0002162
GRAD OTOČAC;12.3.2024 1:00;CRO-CLASSIC, obrt za usluge;2160;A01 1005A100506 Obilježavanje Dana grada Otočca (Sv.Fabijan i Sebastijan);323990 Ostale nespomenute usluge;glazbena izvedba - Dan Grada 24/0000227
GRAD OTOČAC;17.6.2021 2:00;D&M, obrt za prijevoz i usluge;663,61;A06 1039A100001 Interventni radovi na objektima komunalne infrastrukture;323290 Ostale usluge tekućeg i investicijskog održavanja;popravak ceste Kuterevo 21/0000715
GRAD OTOČAC;12.11.2024 1:00;DAMI d.o.o. za trgovinu;267,71;A01 1001A100101 Redovan rad Gradonačelnika;329310 Reprezentacija;usluge jela i pića 24/0001593
GRAD OTOČAC;30.8.2022 2:00;Damon d.o.o.;29183,26;A13 1011A100002 Tekuće održavanje sportskih objekata;421260 Sportske dvorane i rekreacijski objekti;materijal za radove za navodnjavanje gradskog stadiona u Oto 22/0001197
GRAD OTOČAC;7.2.2023 1:00;Danijela, obrt za proizvodnju i usluge;410,4;A01 1005A100506 Obilježavanje Dana grada Otočca (Sv.Fabijan i Sebastijan);329910 Rashodi protokola (vijenci, cvijeće, svijeće i slično);plaćanje računa 11
GRAD OTOČAC;25.7.2024 2:00;Danijela, obrt za proizvodnju i usluge;200;A12 1004A100401 Programi vezani za očuvanje trad.vrijed. i kulture Gacke doline;381190 Ostale tekuće donacije;novčana pomoć za pokrivanje putn.trošk.na manifestacijama 24/0000977
GRAD OTOČAC;6.6.2023 2:00;Dankom-projekt d.o.o.;3185,35;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;GP energetska obnova zgrade stare pekare 23/0000728
GRAD OTOČAC;6.6.2023 2:00;Dankom-projekt d.o.o.;400;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;energetski certifikat zgrade stare pekare Otočac 23/0000725
GRAD OTOČAC;6.6.2023 2:00;Dankom-projekt d.o.o.;1100;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;energetski certifikat zgrada K. Zvonimira 10 23/0000727
GRAD OTOČAC;6.6.2023 2:00;Dankom-projekt d.o.o.;400;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;energetski certifikat vatrogasni dom Sinac 23/0000726
GRAD OTOČAC;6.6.2023 2:00;Dankom-projekt d.o.o.;400;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;energetski certifikat dom Kuterevo 23/0000724
GRAD OTOČAC;10.11.2023 1:00;Dankom-projekt d.o.o.;4425;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;GP- energ. obnova zgrade  Vatrogasni dom u Sincu 23/0002091
GRAD OTOČAC;10.11.2023 1:00;Dankom-projekt d.o.o.;4425;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;glavni projekt- energ. obnova zgrade Vatrogasni dom Kuterevo 23/0002069
GRAD OTOČAC;18.9.2024 2:00;Decathlon Zagreb d.o.o.;61,99;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;322710 Službena, radna i zaštitna odjeća i obuća;predračun-transakcija br. 8273, cipele, Grad Otočac, D-2024/701176/50/00042
GRAD OTOČAC;17.12.2021 1:00;Defensor- Ustanova za obrazovanje odrasl;1858,12;A16 1027A100001 Civilna zaštita;323790 Ostale intelektualne usluge;izrada Plana i Procjena ugroženosti 21/0001081
GRAD OTOČAC;20.10.2023 2:00;Defensor- Ustanova za obrazovanje odrasl;318,54;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;izrada procjena rizika od nesreća i plan djelovanja CZ 23/0002001
GRAD OTOČAC;20.10.2023 2:00;Defensor- Ustanova za obrazovanje odrasl;663,61;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;izrada procjena od rizika velikih nesreća 23/0002000
GRAD OTOČAC;9.12.2022 1:00;Dekora dom d.o.o. Poslovnica Rijeka;0;A01 1002T100201 Izgradnja i dodatna ulaganja na zgradama (društveni domovi i ost. zgrade);454110 Dodatna ulaganja za ostalu nefinancijsku imovinu;parket 22/0002247
GRAD OTOČAC;12.10.2022 2:00;Dekora dom d.o.o. Poslovnica Rijeka;1718,66;A01 1002T100201 Izgradnja i dodatna ulaganja na zgradama (društveni domovi i ost. zgrade);454110 Dodatna ulaganja za ostalu nefinancijsku imovinu;plaćanje predujma po ponudi R613-2022
GRAD OTOČAC;9.11.2022 1:00;Dekora dom d.o.o. Poslovnica Rijeka;982,09;A01 1002T100201 Izgradnja i dodatna ulaganja na zgradama (društveni domovi i ost. zgrade);454110 Dodatna ulaganja za ostalu nefinancijsku imovinu;ponuda br R665-2022 za Grad Otočac
GRAD OTOČAC;16.11.2022 1:00;Dekora dom d.o.o. Poslovnica Rijeka;1718,66;A01 1002T100201 Izgradnja i dodatna ulaganja na zgradama (društveni domovi i ost. zgrade);454110 Dodatna ulaganja za ostalu nefinancijsku imovinu;plaćanje razlike ponude 613-2022
GRAD OTOČAC;16.11.2022 1:00;Dekora dom d.o.o. Poslovnica Rijeka;1088,27;A01 1002T100201 Izgradnja i dodatna ulaganja na zgradama (društveni domovi i ost. zgrade);454110 Dodatna ulaganja za ostalu nefinancijsku imovinu;plaćanje razlike ponude 655-2022
GRAD OTOČAC;18.2.2025 1:00;DESKON STUDIO d.o.o.;1875;A06 1034K103416 Izgradnja i opremanje područnog vrtića s kuhinjom;421230 Zgrade znanstvenih i obrazovnih institucija (fakulteti, škole, vrtići i slično);revizija GP dječjeg vrtića
GRAD OTOČAC;18.2.2022 1:00;DIGITAL MEDIA GROUP d.o.o.;2480,26;A01 1001A100009 Elektronski mediji i usluge promidžbe i informiranja;323390 Ostale usluge promidžbe i informiranja;Ugovor o pružanju usluge 22/0000146
GRAD OTOČAC;8.7.2022 2:00;DIGITAL MEDIA GROUP d.o.o.;2480,26;A01 1001A100009 Elektronski mediji i usluge promidžbe i informiranja;323390 Ostale usluge promidžbe i informiranja;usluge produkcije emisije 22/0000970
GRAD OTOČAC;7.2.2023 1:00;DIGITAL MEDIA GROUP d.o.o.;3110,69;A01 1001A100106 Elektronski mediji i usluge promidžbe i informiranja;323390 Ostale usluge promidžbe i informiranja;plaćanje računa 15-1-231
GRAD OTOČAC;22.5.2023 2:00;DIGITAL MEDIA GROUP d.o.o.;3110,69;A01 1001A100106 Elektronski mediji i usluge promidžbe i informiranja;323390 Ostale usluge promidžbe i informiranja;ugovor o pružanju usluge 23/0000651
GRAD OTOČAC;29.3.2023 2:00;Digitalni tisak d.o.o.;1537,5;A01 1005A100501 Redovan rad Gradskog vijeća;323310 Elektronski mediji;snimanje i produkcija video spota za svečanu sjednicu Dan Gr 23/0000330
GRAD OTOČAC;8.5.2023 2:00;Digitalni tisak d.o.o.;200;A01 1001A100101 Redovan rad Gradonačelnika;323990 Ostale nespomenute usluge;banner s tiskom 23/0000584
GRAD OTOČAC;8.5.2023 2:00;Digitalni tisak d.o.o.;975;A01 1001A100101 Redovan rad Gradonačelnika;323790 Ostale intelektualne usluge;izrada photo wall-a 23/0000530
GRAD OTOČAC;28.8.2023 2:00;Digitalni tisak d.o.o.;675;A01 1002A100206 Održavanje opreme za redovnu djelatnost;323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata;izrada i postavljanje zidne tapete 23/0001178
GRAD OTOČAC;20.12.2023 1:00;Digitalni tisak d.o.o.;1562,5;A01 1001A100101 Redovan rad Gradonačelnika;323910 Grafičke i tiskarske usluge, usluge kopiranja i uvezivanja i slično;tisak kalendara 23/0002471
GRAD OTOČAC;24.2.2025 1:00;Digitalni tisak d.o.o.;4125;A01 1001A100110 Manifestacije u organizaciji Grad Otočca;323790 Ostale intelektualne usluge;snimanje i fotografiranje Adventa
GRAD OTOČAC;24.2.2025 1:00;Digitalni tisak d.o.o.;150;A01 1001A100101 Redovan rad Gradonačelnika;323910 Grafičke i tiskarske usluge, usluge kopiranja i uvezivanja i slično;dizajn i grafička priprema za kalendar
GRAD OTOČAC;24.2.2025 1:00;Digitalni tisak d.o.o.;1950;A01 1005A100506 Obilježavanje Dana grada Otočca (Sv.Fabijan i Sebastijan);323990 Ostale nespomenute usluge;montaža video spota za sjednicu
GRAD OTOČAC;22.9.2025 2:00;Digitalni tisak d.o.o.;1075;A09 1042K104201 Izrada izmjena i dopuna prostornih planova;426410 Ostala nematerijalna proizvedena imovina;izrada panoa i grafička priprema karti 25/0001206
GRAD OTOČAC;28.5.2025 2:00;DIGTRARE VL. PETAR DUVNJAK;200;A01 1001A100106 Elektronski mediji i usluge promidžbe i informiranja;323390 Ostale usluge promidžbe i informiranja;Objava čestitke na portalu 25/0000597
GRAD OTOČAC;26.8.2025 2:00;DIGTRARE VL. PETAR DUVNJAK;300;A01 1001A100106 Elektronski mediji i usluge promidžbe i informiranja;323390 Ostale usluge promidžbe i informiranja;objava na portalu 25/0001087
GRAD OTOČAC;23.2.2021 1:00;DIVEKS j.d.o.o.;205,72;A01 1002A100003 Održavanje zgrada za redovnu djelatnost;323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata;plaćanje računa
GRAD OTOČAC;23.2.2021 1:00;DIVEKS j.d.o.o.;305,26;A01 1002A100003 Održavanje zgrada za redovnu djelatnost;323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata;plaćanje računa
GRAD OTOČAC;31.3.2021 2:00;DIVEKS j.d.o.o.;255,49;A01 1002A100005 Objekt u vlasništvu Grada 'Kuglana';323210 Usluge tekućeg i investicijskog održavanja građevinskih objekata;kontrola i čišćenje dimnjaka 21/0000307
